Date,Price,Open,High,Low,Vol.,Change %
16-Oct,47.95,49.27,52.77,40.7,245.01K,-2.18%
16-Sep,49.02,62.75,63.85,49.02,342.23K,-22.00%
16-Aug,62.85,69.65,69.65,58.38,221.46K,-8.87%
16-Jul,68.97,82.88,83.65,68.7,135.33K,-16.75%
16-Jun,82.85,80.8,88.83,80.03,126.06K,2.82%
16-May,80.58,77.9,83.28,75.97,109.54K,3.44%
16-Apr,77.9,68.5,77.97,66.33,39.68K,13.97%
16-Mar,68.35,70.25,72.88,67.95,284.59K,-2.32%
16-Feb,69.97,66.1,72.22,64.12,210.49K,6.34%
16-Jan,65.8,59.88,66.12,58.08,259.95K,10.03%
15-Dec,59.8,58.65,60.12,54.73,192.99K,2.36%
15-Nov,58.42,59,59.42,51.8,339.67K,-1.32%
15-Oct,59.2,73.55,75.2,59.02,280.91K,-19.49%
15-Sep,73.53,68.3,74.5,66.35,293.59K,8.08%
15-Aug,68.03,79.05,81.58,61.6,225.20K,-13.34%
15-Jul,78.5,75.85,81.38,74.58,192.46K,3.02%
15-Jun,76.2,84.17,84.85,73.15,176.25K,-9.10%
15-May,83.83,77.45,85.12,75.97,135.06K,8.94%
15-Apr,76.95,62,77.78,61.73,45.38K,23.28%
15-Mar,62.42,68.4,68.85,57.77,366.72K,-7.48%
15-Feb,67.47,67.6,69.9,61.1,245.35K,0.00%
15-Jan,67.47,80.95,81.8,67.35,341.70K,-16.91%
14-Dec,81.2,90.1,90.6,78.67,216.48K,-10.11%
14-Nov,90.33,88.28,93.33,86.67,296.35K,2.61%
14-Oct,88.03,108,109.97,86.15,279.11K,-18.47%
14-Sep,107.97,98.9,108.8,98.75,412.89K,10.04%
14-Aug,98.12,117.33,118.83,90.45,299.28K,-16.87%
14-Jul,118.03,132.45,133.8,117.45,249.89K,-11.02%
14-Jun,132.65,113.35,133.6,111.6,216.51K,17.03%
14-May,113.35,117.62,122.58,112.4,164.38K,-3.67%
14-Apr,117.67,125.83,128.78,117.28,88.35K,-6.61%
14-Mar,126,106.95,127.3,106.5,485.05K,17.92%
14-Feb,106.85,86.22,106.85,84.75,250.38K,23.93%
14-Jan,86.22,86.12,87.42,84.5,321.55K,0.94%
13-Dec,85.42,85.67,87.95,80.22,206.30K,-0.29%
13-Nov,85.67,89.45,89.5,84.92,358.87K,-3.93%
13-Oct,89.17,91.88,92.4,86.12,315.45K,-3.04%
13-Sep,91.97,87.58,93.75,87.17,464.74K,4.96%
13-Aug,87.62,97.75,102.47,83.8,259.46K,-10.21%
13-Jul,97.58,101.72,102.5,95.3,201.35K,-3.65%
13-Jun,101.28,95.88,102.45,95.35,157.84K,5.92%
13-May,95.62,90.1,95.92,89.8,176.48K,6.13%
13-Apr,90.1,80.45,90.35,79.8,65.38K,11.79%
13-Mar,80.6,81.25,82.35,76.8,359.32K,-0.49%
13-Feb,81,87.67,88.7,80.62,234.63K,-7.53%
13-Jan,87.6,86.2,87.9,84.12,362.00K,2.19%
12-Dec,85.72,84.15,87.8,81.55,197.48K,1.95%
12-Nov,84.08,78.47,84.67,76.65,393.78K,7.41%
12-Oct,78.28,77,82.8,76.83,288.89K,1.44%
12-Sep,77.17,74.17,77.45,70.38,336.84K,4.04%
12-Aug,74.17,93.1,93.72,72.08,243.08K,-20.20%
12-Jul,92.95,96.92,97.72,88.65,186.13K,-3.80%
12-Jun,96.62,90,97.05,89.2,196.42K,7.59%
12-May,89.8,83.58,89.97,78.58,207.76K,7.33%
12-Apr,83.67,83.53,89.88,82.25,51.19K,0.30%
12-Mar,83.42,88.85,90.72,82.8,380.67K,-6.71%
12-Feb,89.42,87.72,90.97,86.1,183.47K,2.16%
12-Jan,87.53,84.72,87.8,82.78,341.97K,3.83%
11-Dec,84.3,88.17,88.47,82.62,196.56K,-4.39%
11-Nov,88.17,87.58,88.9,84.78,312.79K,0.80%
11-Oct,87.47,93.4,94.9,86.5,232.37K,-6.33%
11-Sep,93.38,85.25,93.38,83.05,343.81K,9.22%
11-Aug,85.5,102.88,107.47,85.03,249.71K,-16.81%
11-Jul,102.78,94.08,102.85,93.88,144.03K,8.88%
11-Jun,94.4,89.88,99.4,88.35,157.40K,4.69%
11-May,90.17,95.42,96.1,86.92,158.64K,-5.36%
11-Apr,95.28,94.12,103.42,92.3,49.08K,1.66%
