Date,Price,Open,High,Low,Vol.,Change %
12-Oct,126.75,122.05,126.75,121.7,108.94K,3.83%
12-Sep,122.075,126,128.775,121.525,424.90K,3.39%
12-Aug,118.075,119.075,122.75,116.65,142.48K,-0.67%
12-Jul,118.875,120.05,120.5,115.425,440.22K,1.99%
12-Jun,116.55,117.8,120.125,115.075,96.08K,-0.47%
12-May,117.1,114.25,120.4,112.225,519.33K,-1.39%
12-Apr,118.75,120.7,122.05,116.8,113.72K,-1.41%
12-Mar,120.45,129.8,131.25,120.1,553.61K,-5.64%
12-Feb,127.65,125,129.775,123,146.84K,2.24%
12-Jan,124.85,122,126.375,119.75,420.19K,1.59%
11-Dec,122.9,121.95,125.575,116.575,99.70K,1.07%
11-Nov,121.6,118.575,125.375,117.6,441.30K,1.50%
11-Oct,119.8,122.325,123.175,118.8,140.52K,-1.92%
11-Sep,122.15,113.95,122.5,113.5,460.77K,8.10%
11-Aug,113,112.775,118.325,111.95,114.83K,0.33%
11-Jul,112.625,110.825,115.55,109.2,427.27K,-0.11%
11-Jun,112.75,103.575,114,100.75,121.27K,8.67%
11-May,103.75,113.35,113.975,101.625,505.95K,-11.36%
11-Apr,117.05,121.1,122.875,115.575,102.72K,-3.70%
11-Mar,121.55,112.975,121.7,110.5,539.15K,10.25%
11-Feb,110.25,109,114.55,107.05,127.93K,1.19%
11-Jan,108.95,108.35,112.375,105.8,460.46K,0.97%
10-Dec,107.9,103.4,108.15,100.875,107.53K,4.68%
10-Nov,103.075,98.8,103.4,97.1,417.40K,4.27%
10-Oct,98.85,96.725,102.4,94.5,97.83K,2.22%
10-Sep,96.7,97.25,100,95.725,451.80K,-0.57%
10-Aug,97.25,92.775,100.2,91.5,93.77K,4.96%
10-Jul,92.65,90,93.975,89.4,343.29K,1.53%
10-Jun,91.25,90.35,92.75,89.25,104.95K,0.80%
10-May,90.525,94.625,97.2,89.325,493.20K,-9.41%
10-Apr,99.925,96.575,100.2,96,135.74K,3.50%
10-Mar,96.55,92.025,98.7,91.55,416.87K,6.92%
10-Feb,90.3,85.825,93,85.225,113.30K,5.24%
10-Jan,85.8,86.5,87.95,84.75,346.11K,-0.23%
9-Dec,86,83.15,86.25,78.7,76.67K,3.37%
9-Nov,83.2,85.8,86.8,82.65,348.41K,1.90%
9-Oct,81.65,85.7,86.75,81.525,104.18K,-4.61%
9-Sep,85.6,86.825,87.925,84.7,310.80K,3.54%
9-Aug,82.675,84.475,86.1,81.65,89.63K,-2.39%
9-Jul,84.7,85.3,86.975,82.95,299.23K,2.64%
9-Jun,82.525,81.525,85.4,79.175,70.88K,1.48%
9-May,81.325,82,83.9,80.85,278.98K,-7.11%
9-Apr,87.55,83.725,88.9,83.475,106.75K,4.32%
9-Mar,83.925,85.45,86.25,81.95,308.21K,1.70%
9-Feb,82.525,82.5,85.45,79.425,88.70K,0.64%
